,1. open,2. high,3. low,4. close,5. volume,Symbol
2023-09-19 17:00:00,266.1270,266.2500,266.0400,266.1000,22355,TSLA
2023-09-19 16:55:00,266.3400,266.3400,266.1400,266.1400,13772,TSLA
2023-09-19 16:50:00,266.3400,266.5000,266.2300,266.3100,245874,TSLA
2023-09-19 16:45:00,266.2400,266.3500,266.2200,266.3100,1498,TSLA
2023-09-19 16:40:00,266.3000,266.4000,266.2200,266.2800,7391,TSLA
2023-09-19 16:35:00,266.2800,266.4700,266.1400,266.3700,24096,TSLA
2023-09-19 16:30:00,266.2800,266.3300,266.1200,266.2850,14918,TSLA
2023-09-19 16:25:00,266.3300,266.3800,266.2800,266.3050,6432,TSLA
2023-09-19 16:20:00,266.3000,266.3800,266.2600,266.2900,15345,TSLA
2023-09-19 16:15:00,266.4000,266.5000,266.3000,266.3000,7972,TSLA
2023-09-19 16:10:00,266.3800,266.5000,266.3000,266.4000,14976,TSLA
2023-09-19 16:05:00,266.5200,266.5800,266.3500,266.4170,30285,TSLA
2023-09-19 16:00:00,266.4940,266.6000,266.3850,266.5400,4597430,TSLA
2023-09-19 15:55:00,266.4900,266.7500,266.3300,266.4940,1237552,TSLA
2023-09-19 15:50:00,266.6500,266.7900,266.3300,266.4700,1062122,TSLA
2023-09-19 15:45:00,266.3950,266.7900,266.3600,266.6900,955278,TSLA
2023-09-19 15:40:00,265.9950,266.5300,265.8400,266.4000,916097,TSLA
2023-09-19 15:35:00,266.0150,266.1100,265.6200,266.0000,690932,TSLA
2023-09-19 15:30:00,266.2200,266.2500,265.7000,266.0200,925735,TSLA
2023-09-19 15:25:00,265.7700,266.3400,265.7500,266.2050,1012277,TSLA
2023-09-19 15:20:00,265.6350,265.9480,265.5000,265.7700,793057,TSLA
2023-09-19 15:15:00,265.6300,265.8800,265.3900,265.6590,831117,TSLA
2023-09-19 15:10:00,265.5560,265.7900,265.2200,265.6240,811637,TSLA
2023-09-19 15:05:00,265.9300,265.9900,265.3700,265.5400,811574,TSLA
2023-09-19 15:00:00,265.6300,266.2300,265.4500,265.9300,1043600,TSLA
2023-09-19 14:55:00,266.3200,266.4400,265.5610,265.6600,1251163,TSLA
2023-09-19 14:50:00,266.8860,266.9700,266.2600,266.2900,925573,TSLA
2023-09-19 14:45:00,267.1300,267.1300,266.6700,266.8590,870068,TSLA
2023-09-19 14:40:00,267.2240,267.3900,266.9500,267.1180,686435,TSLA
2023-09-19 14:35:00,266.7000,267.4700,266.7000,267.2250,1250383,TSLA
2023-09-19 14:30:00,266.0350,266.7900,266.0000,266.6840,1088931,TSLA
2023-09-19 14:25:00,267.0470,267.2100,265.9500,266.0200,1123113,TSLA
2023-09-19 14:20:00,267.0550,267.3200,267.0200,267.0500,708786,TSLA
2023-09-19 14:15:00,266.5800,267.0800,266.3170,267.0310,1022976,TSLA
2023-09-19 14:10:00,266.6900,266.9400,266.5600,266.5830,755060,TSLA
2023-09-19 14:05:00,267.0200,267.2000,266.6200,266.6700,866377,TSLA
2023-09-19 14:00:00,267.1500,267.5000,266.8300,267.0200,926568,TSLA
2023-09-19 13:55:00,267.1900,267.4200,266.7600,267.1300,966052,TSLA
2023-09-19 13:50:00,266.5590,267.2000,266.1900,267.2000,1063700,TSLA
2023-09-19 13:45:00,266.2580,266.7600,266.2220,266.5600,1038123,TSLA
2023-09-19 13:40:00,266.4500,266.6100,266.0100,266.2500,788409,TSLA
2023-09-19 13:35:00,266.1450,266.6300,266.0000,266.4300,944529,TSLA
2023-09-19 13:30:00,266.0500,266.3300,265.9000,266.1400,930512,TSLA
2023-09-19 13:25:00,266.3510,266.4300,265.8300,266.0400,919283,TSLA
2023-09-19 13:20:00,266.6300,266.8100,266.2300,266.3520,1000403,TSLA
2023-09-19 13:15:00,266.0600,266.6700,266.0500,266.6450,1136280,TSLA
2023-09-19 13:10:00,266.0900,266.1540,265.6000,266.0700,844756,TSLA
2023-09-19 13:05:00,265.9300,266.2800,265.7700,266.1000,1126218,TSLA
2023-09-19 13:00:00,265.1900,266.0500,265.0300,265.9300,1498088,TSLA
2023-09-19 12:55:00,264.8600,265.4200,264.8000,265.1800,1043427,TSLA
2023-09-19 12:50:00,264.0700,264.9200,264.0400,264.8820,819451,TSLA
2023-09-19 12:45:00,264.0200,264.2300,263.6400,264.0580,720532,TSLA
2023-09-19 12:40:00,263.7720,264.3800,263.7100,264.0090,845965,TSLA
2023-09-19 12:35:00,264.2110,264.4600,263.7000,263.7750,860227,TSLA
2023-09-19 12:30:00,264.5600,264.6600,264.0000,264.2300,746865,TSLA
