,1. open,2. high,3. low,4. close,5. volume,Symbol
2023-09-19 14:35:00,179.2700,179.6300,179.2600,179.4600,819506,AAPL
2023-09-19 14:30:00,179.1300,179.2700,179.1100,179.2600,407074,AAPL
2023-09-19 14:25:00,179.2780,179.3900,179.1100,179.1350,509818,AAPL
2023-09-19 14:20:00,179.2300,179.3100,179.1700,179.2750,347407,AAPL
2023-09-19 14:15:00,179.2150,179.2700,179.1600,179.2400,415591,AAPL
2023-09-19 14:10:00,179.3200,179.3600,179.1700,179.2150,538328,AAPL
2023-09-19 14:05:00,179.2800,179.3900,179.2500,179.3170,515352,AAPL
2023-09-19 14:00:00,179.1000,179.3070,179.0800,179.2700,556283,AAPL
2023-09-19 13:55:00,179.1270,179.1270,178.9800,179.0900,301136,AAPL
2023-09-19 13:50:00,179.0400,179.1700,178.9100,179.1250,563583,AAPL
2023-09-19 13:45:00,178.8600,179.1100,178.8300,179.0350,892489,AAPL
2023-09-19 13:40:00,178.8000,178.9120,178.7150,178.8550,542224,AAPL
2023-09-19 13:35:00,178.6950,178.8000,178.6200,178.8000,298190,AAPL
2023-09-19 13:30:00,178.5800,178.7600,178.5700,178.6900,473324,AAPL
2023-09-19 13:25:00,178.5100,178.5800,178.4600,178.5800,365870,AAPL
2023-09-19 13:20:00,178.4700,178.5600,178.4100,178.5150,358735,AAPL
2023-09-19 13:15:00,178.3900,178.4800,178.3170,178.4610,378925,AAPL
2023-09-19 13:10:00,178.3800,178.4900,178.3500,178.4000,385455,AAPL
2023-09-19 13:05:00,178.4100,178.4400,178.2740,178.3800,386806,AAPL
2023-09-19 13:00:00,178.1900,178.4400,178.1400,178.4090,711522,AAPL
2023-09-19 12:55:00,178.0500,178.2380,178.0040,178.1900,383675,AAPL
2023-09-19 12:50:00,177.9400,178.0700,177.9200,178.0600,291920,AAPL
2023-09-19 12:45:00,177.8800,177.9560,177.7800,177.9300,286722,AAPL
2023-09-19 12:40:00,177.8500,177.9790,177.8000,177.8750,318744,AAPL
2023-09-19 12:35:00,178.1300,178.1300,177.8500,177.8500,386686,AAPL
2023-09-19 12:30:00,178.1400,178.1890,178.0900,178.1250,231369,AAPL
2023-09-19 12:25:00,178.1000,178.2000,178.0900,178.1350,412396,AAPL
2023-09-19 12:20:00,178.0450,178.1400,178.0100,178.1070,313903,AAPL
2023-09-19 12:15:00,177.8700,178.0700,177.8700,178.0480,297359,AAPL
2023-09-19 12:10:00,177.8350,177.9100,177.7300,177.8700,287074,AAPL
2023-09-19 12:05:00,177.8600,177.9000,177.6300,177.8360,475050,AAPL
2023-09-19 12:00:00,178.0700,178.0880,177.8000,177.8530,369749,AAPL
2023-09-19 11:55:00,177.8100,178.1200,177.7900,178.0600,557771,AAPL
2023-09-19 11:50:00,177.7800,177.8150,177.6500,177.8000,285724,AAPL
2023-09-19 11:45:00,177.7500,177.8600,177.6200,177.7800,382048,AAPL
2023-09-19 11:40:00,177.9000,177.9100,177.7000,177.7400,349802,AAPL
