,1. open,2. high,3. low,4. close,5. volume,Symbol
2023-09-19 12:55:00,326.1200,326.4700,326.0500,326.3400,95081,MSFT
2023-09-19 12:50:00,325.6800,326.1870,325.6770,326.1200,89362,MSFT
2023-09-19 12:45:00,325.8000,325.9600,325.5600,325.6700,101992,MSFT
2023-09-19 12:40:00,325.7100,326.2100,325.7000,325.7800,83608,MSFT
2023-09-19 12:35:00,326.0900,326.1860,325.7300,325.7350,95235,MSFT
2023-09-19 12:30:00,326.0200,326.2400,326.0200,326.1000,72147,MSFT
2023-09-19 12:25:00,326.2200,326.3400,326.0200,326.0500,102079,MSFT
2023-09-19 12:20:00,326.6000,326.6000,326.2000,326.2300,104036,MSFT
2023-09-19 12:15:00,326.6000,326.6780,326.4300,326.5970,139762,MSFT
2023-09-19 12:10:00,326.3000,326.6300,326.2000,326.5740,117134,MSFT
2023-09-19 12:05:00,326.2700,326.3650,325.9640,326.3100,85459,MSFT
2023-09-19 12:00:00,326.4500,326.4700,326.2000,326.2550,92267,MSFT
2023-09-19 11:55:00,326.0000,326.5800,325.9600,326.4500,116269,MSFT
2023-09-19 11:50:00,326.0100,326.1400,325.8300,326.0200,101137,MSFT
2023-09-19 11:45:00,325.9600,326.2400,325.7300,326.0300,113875,MSFT
2023-09-19 11:40:00,326.1200,326.2100,325.8800,325.9200,87774,MSFT
