,1. open,2. high,3. low,4. close,5. volume,Symbol
2023-09-19 16:45:00,137.9750,138.0100,137.9400,137.9750,179,GOOGL
2023-09-19 16:40:00,138.0000,138.0200,137.9700,137.9700,1181,GOOGL
2023-09-19 16:35:00,137.9750,137.9900,137.9300,137.9900,1146,GOOGL
2023-09-19 16:30:00,137.9400,138.0000,137.8500,137.9800,4229,GOOGL
2023-09-19 16:25:00,120.9800,138.0400,120.9800,137.9450,12298,GOOGL
2023-09-19 16:20:00,137.9200,137.9900,137.9000,137.9500,174,GOOGL
2023-09-19 16:15:00,138.0400,138.0400,137.9000,137.9000,1809,GOOGL
2023-09-19 16:10:00,138.0300,138.0400,137.8200,138.0000,14037,GOOGL
2023-09-19 16:05:00,137.9900,138.0400,137.9900,138.0400,14792,GOOGL
2023-09-19 16:00:00,138.0000,138.0900,137.9600,138.0400,5514159,GOOGL
2023-09-19 15:55:00,137.9500,138.1000,137.9500,138.0400,964579,GOOGL
2023-09-19 15:50:00,138.1600,138.1780,137.9300,137.9400,545182,GOOGL
2023-09-19 15:45:00,138.1000,138.2050,138.1000,138.1650,310950,GOOGL
2023-09-19 15:40:00,138.0350,138.1500,138.0300,138.1000,206637,GOOGL
2023-09-19 15:35:00,138.0000,138.0950,137.9700,138.0400,183117,GOOGL
2023-09-19 15:30:00,137.9400,138.0000,137.8650,137.9910,171942,GOOGL
2023-09-19 15:25:00,137.8000,137.9600,137.8000,137.9300,111480,GOOGL
2023-09-19 15:20:00,137.7200,137.8200,137.6400,137.7950,200859,GOOGL
2023-09-19 15:15:00,137.7000,137.7430,137.6100,137.7130,110172,GOOGL
2023-09-19 15:10:00,137.7070,137.7850,137.5950,137.6950,131779,GOOGL
2023-09-19 15:05:00,137.6700,137.7200,137.6210,137.7000,94614,GOOGL
2023-09-19 15:00:00,137.6300,137.6950,137.5400,137.6500,133427,GOOGL
2023-09-19 14:55:00,137.7250,137.8250,137.6200,137.6200,99641,GOOGL
2023-09-19 14:50:00,137.8700,137.8900,137.6800,137.7150,164695,GOOGL
2023-09-19 14:45:00,137.9550,137.9800,137.7700,137.8650,134176,GOOGL
2023-09-19 14:40:00,137.9550,138.0400,137.9250,137.9630,88036,GOOGL
2023-09-19 14:35:00,137.9300,138.1400,137.9300,137.9570,195368,GOOGL
2023-09-19 14:30:00,137.7600,137.9250,137.7410,137.9230,94442,GOOGL
2023-09-19 14:25:00,137.7000,137.8410,137.7000,137.7600,62684,GOOGL
2023-09-19 14:20:00,137.7200,137.7700,137.6500,137.7000,215417,GOOGL
2023-09-19 14:15:00,137.7400,137.7400,137.5900,137.7200,103187,GOOGL
2023-09-19 14:10:00,137.8370,137.8550,137.6500,137.7400,111102,GOOGL
2023-09-19 14:05:00,137.9700,138.0100,137.8140,137.8350,234049,GOOGL
2023-09-19 14:00:00,137.8700,138.0400,137.8500,137.9700,181949,GOOGL
2023-09-19 13:55:00,137.8500,137.8980,137.8100,137.8600,128398,GOOGL
2023-09-19 13:50:00,137.7250,137.8600,137.6200,137.8600,140898,GOOGL
2023-09-19 13:45:00,137.5500,137.8500,137.5450,137.7350,184487,GOOGL
2023-09-19 13:40:00,137.4900,137.5700,137.4000,137.5500,93676,GOOGL
2023-09-19 13:35:00,137.4400,137.5400,137.3950,137.4820,106668,GOOGL
2023-09-19 13:30:00,137.2800,137.5010,137.2750,137.4400,80689,GOOGL
2023-09-19 13:25:00,137.3500,137.4100,137.2150,137.2700,103530,GOOGL
2023-09-19 13:20:00,137.4150,137.4600,137.3200,137.3450,106578,GOOGL
2023-09-19 13:15:00,137.4500,137.4900,137.2900,137.4050,246135,GOOGL
2023-09-19 13:10:00,137.3900,137.4900,137.3500,137.4500,103411,GOOGL
2023-09-19 13:05:00,137.3070,137.4400,137.2300,137.4050,123738,GOOGL
2023-09-19 13:00:00,137.0900,137.3050,137.0490,137.3050,161351,GOOGL
2023-09-19 12:55:00,136.9400,137.1100,136.9300,137.0850,100591,GOOGL
2023-09-19 12:50:00,136.8000,136.9800,136.7700,136.9500,116324,GOOGL
2023-09-19 12:45:00,136.8200,136.8700,136.6600,136.7900,114471,GOOGL
2023-09-19 12:40:00,136.8000,136.9650,136.7900,136.8300,101533,GOOGL
2023-09-19 12:35:00,136.9050,136.9400,136.7900,136.8150,90357,GOOGL
2023-09-19 12:30:00,136.9600,136.9950,136.9050,136.9050,82238,GOOGL
2023-09-19 12:25:00,136.8600,136.9900,136.8600,136.9600,112125,GOOGL
2023-09-19 12:20:00,137.0570,137.0900,136.8600,136.8650,142219,GOOGL
2023-09-19 12:15:00,136.9300,137.0600,136.9050,137.0500,121623,GOOGL
2023-09-19 12:10:00,136.7600,136.9500,136.7050,136.9300,137594,GOOGL
2023-09-19 12:05:00,136.9200,136.9500,136.6200,136.7630,161596,GOOGL
2023-09-19 12:00:00,137.0000,137.0000,136.8200,136.9150,158425,GOOGL
2023-09-19 11:55:00,136.9000,137.0500,136.8400,137.0050,177155,GOOGL
2023-09-19 11:50:00,136.9700,136.9700,136.7800,136.9040,177566,GOOGL
2023-09-19 11:45:00,137.1700,137.1850,136.9550,136.9800,168273,GOOGL
2023-09-19 11:40:00,137.2800,137.3100,137.1000,137.1650,156342,GOOGL
